make,model
Beech,C-23
Lindstrand,LBL-105G
Aero Commander,680
Schweizer,SGS-1-34
Beech,90
Cessna,140A
Hughes,369D
Aerostar,S49A
Cessna,A185F
Piper,PA-32-300
Mcdonnell Douglas,MD-83
Weatherly,201B
Balloon Works,FIREFLY F-15
Hiller,UH-12C
Pzl-bielsko,JANTAR 2A
Beech,F35
Ludeman,HP-18
Rotorway,EXEC 162F
Let,L 33 SOLO
Aerostar,S57-A
As+ (russia),AS-4
Slingsby,41-2
Culver,LFA
Schweizer,SGS-1-26
Luscombe,8E
Schleicher,AS20
Bell,UH-1B
Schleicher,ASW-20L
Stinson,108-1
Cessna,150
Schreder,HP-11-A
Let,L-23 SUPER BLANKIT
"Aero Tek, Inc.",ZUNI
Piper,PA-44 SEMINOLE
Redsell,WINDROSE
Raven,AS-55A
Grumman,G164A
Piper,PA-18
Aerostar,S-81A
Cessna,208B
Ercoupe,415-C
"Galaxy Balloons, Inc.",GALAXY 7
Beech,B19
Yakovlev,52
Robinson,R-22 BETA
Piper,PA-28-181
Cessna,172P
Piper,PA-28-140
Cessna,182J
Grob,G102
Cessna,172N
Jack Mcdaniel,Rans S-12
Piper,J5A
Lockheed,L1011
Bellanca,8GCBC
Raven,S55A
Schweitzer,136
1977 Colfer-chan,STEEN SKYBOLT
Beech,D35
Garrett,STARDUSTER TOO SA300
Bell,206-L4
Cessna,152
Piper,PA-46-500TP
Burkhart Grob,G 103 Twin II
Burkhart Grob,G102 STD ASTIR III
Lancair,360
Blanik,L-13
Avid Aircraft,Mk-4
Cameron Balloons,Shuttle 90
Rockwell,S2R
Piper,PA-25
Piper,PA-32R-301
Boeing,757
Boeing,757-200
Aviastrottel,AC 4C
Worner,1000 STU
Eurocopter,AS-350-BA
Flugzeugbau,DG-200
Schleicher,AS-W19
Cessna,172R
Wsk Pzl,PW-5
Cook,RS-15
Yoder,GP-4
Glaser-dirks-flugzeubau,DG-100G
Cessna,210F
Schreder,RS-15
Maule,MXT-7-180A
Boeing,E75
Boeing,B75N1
Schempp-hirth,Standard Cirrus
I.c.a. Brasov,IS-28-B2
Schempp-hirth,KA8B
British Aircraft Corp. (bac),Concorde
Cessna,500
Luscombe,T-8F
Aerospatiale,Concorde
Schempp-hirth,Cirrus
Hughes,OH 6A
Burkhart Grob,G102 Standard III
Alexander Schleicher,
Quicksilver,MXL II
National Ballooning Ltd,858
Grob,G103 Twin Astir
Start & Flug,H101
Schempp-hirth,Ventus B/16.6
